Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,69.0%,15.0%
,,
Total Return,78%,20%
CAGR% (Annual Return),17.08%,5.21%
,,
Sharpe,0.69,0.05
RoMaD,0.7,0.37
Corr to Benchmark,1.0,-0.02
Prob. Sharpe Ratio,48.32%,21.99%
Smart Sharpe,0.68,0.05
Sortino,0.97,0.07
Smart Sortino,0.95,0.06
Sortino/√2,0.69,0.05
Smart Sortino/√2,0.67,0.05
Omega,1.02,1.02
,,
Max Drawdown,-24.49%,-14.04%
Longest DD Days,708,420
Volatility (ann.),17.82%,9.38%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.7,0.37
Skew,-0.36,-0.41
Kurtosis,4.21,35.55
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.32%,0.42%
Expected Yearly%,15.52%,4.76%
Daily Value-at-Risk,-1.49%,-0.79%
Expected Shortfall (cVaR),-1.49%,-0.79%
,,
MTD,4.57%,0.0%
3M,11.64%,0.0%
6M,9.33%,0.0%
YTD,26.21%,0.6%
1Y,25.88%,0.44%
3Y (ann.),10.67%,1.6%
5Y (ann.),17.08%,5.21%
10Y (ann.),17.08%,5.21%
All-time (ann.),17.08%,5.21%
,,
Best Day,5.5%,5.08%
Worst Day,-5.76%,-5.72%
Best Month,10.88%,11.73%
Worst Month,-9.24%,-8.38%
Best Year,33.92%,15.0%
Worst Year,-18.16%,0.0%
,,
Avg. Drawdown,-1.69%,-3.69%
Avg. Drawdown Days,18,67
Recovery Factor,2.59,1.44
Ulcer Index,0.1,0.04
Serenity Index,0.32,0.2
,,
Avg. Up Month,5.39%,4.12%
Avg. Down Month,-2.51%,-4.52%
Win Days,723.72,746.73
Loss Days,613.28,590.27
Win Days%,54.13%,55.85%
Win Month%,65.91%,69.23%
Win Quarter%,73.33%,66.67%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.01
Alpha,-,0.06
Correlation,-,-2.5%
Treynor Ratio,-,-1156.49%
