time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-30 09:30:00-05:00,MLTrader,610dab764cc3494590f3875da3a70571,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,MLTrader,610dab764cc3494590f3875da3a70571,TSLA,buy,market,fill,1,gtc,0.0,1,stock,42.16133117675781,1186.0,0.0
2020-02-03 08:30:00-05:00,MLTrader,5d26dc31d38447e28946ad29eaaa7b8a,TSLA,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-03 08:30:00-05:00,MLTrader,1bfd56fb2edd4c28a433817f60c2e41d,TSLA,sell,limit,fill,1,day,0.0,1,stock,50.593597412109375,1186.0,0.0
2020-06-11 09:30:00-04:00,MLTrader,b58620336a9c4e3fbfffdb893fb33e9a,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-11 09:30:00-04:00,MLTrader,b58620336a9c4e3fbfffdb893fb33e9a,TSLA,buy,market,fill,1,gtc,0.0,1,stock,65.33333587646484,842.0,0.0
2020-06-12 09:30:00-04:00,MLTrader,1d4a09a54d784cc08932fc7b9a8fe8de,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-12 09:30:00-04:00,MLTrader,7a9da0ba7c65433dbe535b646d504f2f,TSLA,sell,stop,fill,1,day,0.0,1,stock,62.066669082641596,842.0,0.0
2020-10-08 09:30:00-04:00,MLTrader,466f072fcf0149a383fca9e0a41f8b15,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-08 09:30:00-04:00,MLTrader,466f072fcf0149a383fca9e0a41f8b15,TSLA,buy,market,fill,1,gtc,0.0,1,stock,143.3766632080078,374.0,0.0
2020-10-22 09:30:00-04:00,MLTrader,34630d2f8b34442581378eb04488b779,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-10-22 09:30:00-04:00,MLTrader,3c331a67474543a8aa74b29bcfff5dfc,TSLA,sell,stop,fill,1,day,0.0,1,stock,136.20783004760742,374.0,0.0
2020-11-12 09:30:00-05:00,MLTrader,f6a7d639a967480aa300490c844eca24,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-12 09:30:00-05:00,MLTrader,f6a7d639a967480aa300490c844eca24,TSLA,buy,market,fill,1,gtc,0.0,1,stock,138.35000610351562,378.0,0.0
2020-11-19 09:30:00-05:00,MLTrader,5454646d0896414cbe3aa7389da3e60e,TSLA,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-11-19 09:30:00-05:00,MLTrader,3cc6ab14ce324d84b3a8c62b1be88f4e,TSLA,sell,limit,fill,1,day,0.0,1,stock,166.02000732421874,378.0,0.0
2021-01-14 09:30:00-05:00,MLTrader,d9c34cd18c2b4c6b9a928ed2e6b0e15c,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-14 09:30:00-05:00,MLTrader,d9c34cd18c2b4c6b9a928ed2e6b0e15c,TSLA,buy,market,fill,1,gtc,0.0,1,stock,281.1300048828125,205.0,0.0
2021-01-28 09:30:00-05:00,MLTrader,8f23dc4861264637813b574bf8f19079,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,3d1514b3df3040d1a38f3d68b3dea38e,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-01-28 09:30:00-05:00,MLTrader,0ccfbf8e34644f41b66a10825c1ad996,TSLA,sell,stop,fill,1,day,0.0,1,stock,267.07350463867186,205.0,0.0
2021-01-28 09:30:00-05:00,MLTrader,8f23dc4861264637813b574bf8f19079,TSLA,buy,market,fill,1,gtc,0.0,1,stock,273.3333435058594,105.0,0.0
